1.0000000	0.0000000	0.0000000
0.9989300	0.0034917	0.0033347
0.9957200	0.0142162	0.0132053
0.9903900	0.0320489	0.0294118
0.9829600	0.0566155	0.0510871
0.9734700	0.0879162	0.0772976
0.9619400	0.1254521	0.1067094
0.9484400	0.1685996	0.1387222
0.9330100	0.2163611	0.1732026
0.9157300	0.2681132	0.2103508
0.8966800	0.3227335	0.2503668
0.8759200	0.3794737	0.2928505
0.8535500	0.4374610	0.3373349
0.8296700	0.4959471	0.3834200
0.8043800	0.5545579	0.4307723
0.7777900	0.6125452	0.4791250
0.7500000	0.6690360	0.5281446
0.7211400	0.7229081	0.5773643
0.6913400	0.7730390	0.6263172
0.6607200	0.8191794	0.6744698
0.6294100	0.8604564	0.7213552
0.5975500	0.8968699	0.7663065
0.5652600	0.9284200	0.8086568
0.5327000	0.9547325	0.8479392
0.5000000	0.9758075	0.8837535
0.4673000	0.9908966	0.9155662
0.4347400	0.9992518	0.9429772
0.4024500	1.0000000	0.9655195
0.3705900	0.9920190	0.9827264
0.3392800	0.9744357	0.9942644
0.3086600	0.9470009	1.0000000
0.2788600	0.9098391	0.9994665
0.2500000	0.8640728	0.9921969
0.2222100	0.8113231	0.9778578
0.1956200	0.7535852	0.9561825
0.1703300	0.6919815	0.9272376
0.1464500	0.6271356	0.8910898
0.1240800	0.5612907	0.8478718
0.1033200	0.4961953	0.7977184
0.0842700	0.4322235	0.7402961
0.0669899	0.3689986	0.6751367
0.0515600	0.3082679	0.6025077
0.0380599	0.2521511	0.5236761
0.0265300	0.2015214	0.4415099
0.0170400	0.1548809	0.3577424
0.0096100	0.1121087	0.2720422
0.0042800	0.0688365	0.1838069
0.0010700	0.0322983	0.0927704
0.0000000	0.0000000	0.0000000
